# SECTION 1: TOP KEYWORDS (by total MQL+ contacts)
keyword,total_contacts,mqls,sqls,opps,customers,top_page_1,top_page_1_count,top_page_2,top_page_2_count,top_countries
open loyalty,387,247,14,123,3,https://www.openloyalty.io/,304,https://www.openloyalty.io/pricing,46,"United States(106), India(33), United Kingdom(31)"
openloyalty,34,24,1,7,2,https://www.openloyalty.io/,23,https://www.openloyalty.io/pricing,7,"United States(5), United Kingdom(3), Pakistan(2)"
loyalty,27,19,0,8,0,https://www.openloyalty.io/,21,https://www.openloyalty.io/technology/loyalty-program-api,2,"Armenia(2), Thailand(2), Morocco(2)"
loyalty program,26,17,4,5,0,https://www.openloyalty.io/,23,https://www.openloyalty.io/technology/loyalty-program-api,2,"Saudi Arabia(2), India(2), Kuwait(2)"
customer loyalty program software,16,13,1,2,0,https://www.openloyalty.io/,7,https://www.openloyalty.io/technology/loyalty-program-api,4,"India(3), Canada(2), Malaysia(2)"
best white label loyalty app,11,8,1,2,0,https://www.openloyalty.io/applications/white-label-loyalty,11,,0,"United States(6), United Kingdom(5)"
loyalty program software,11,7,2,2,0,https://www.openloyalty.io/,10,https://www.openloyalty.io/product/loyalty-campaign-software,1,"United Arab Emirates(3), United States(2), Bulgaria(1)"
customer loyalty software,11,6,1,3,1,https://www.openloyalty.io/,9,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,1,"United States(3), Spain(2), India(2)"
open loyalty pricing,10,8,0,2,0,https://www.openloyalty.io/pricing,9,https://www.openloyalty.io/book-a-demo,1,"United Kingdom(2), United States(2), India(1)"
loyalty platforms,10,6,0,4,0,https://www.openloyalty.io/,9,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,1,"United States(3), India(1), Australia(1)"
white label loyalty,9,8,0,1,0,https://www.openloyalty.io/applications/white-label-loyalty,9,,0,"United Kingdom(2), Chile(1), Croatia(1)"
customer loyalty platform,8,6,0,2,0,https://www.openloyalty.io/,5,https://www.openloyalty.io/technology/loyalty-program-api,1,"United States(2), Philippines(2), South Africa(2)"
#loyalty,8,8,0,0,0,https://www.openloyalty.io/book-a-demo,7,https://www.openloyalty.io/pricing,1,"Lithuania(1), Ecuador(1), Kyrgyzstan(1)"
loyalty system,8,6,0,2,0,https://www.openloyalty.io/,8,,0,"Qatar(2), Mexico(1), Viet Nam(1)"
custom rewards program,7,7,0,0,0,https://www.openloyalty.io/book-a-demo,5,https://www.openloyalty.io/technology/loyalty-program-api,1,"United Kingdom(3), Germany(1), Brazil(1)"
api driven loyalty platform,7,6,0,1,0,https://www.openloyalty.io/,4,https://www.openloyalty.io/technology/loyalty-program-api,2,"Germany(3), Brazil(2), United States(1)"
best customer loyalty software,7,3,2,2,0,https://www.openloyalty.io/book-a-demo,4,https://www.openloyalty.io/,3,"United Arab Emirates(2), Zimbabwe(1), Mauritius(1)"
customer rewards platform,7,4,0,3,0,https://www.openloyalty.io/book-a-demo,4,https://www.openloyalty.io/,2,"India(1), France(1), Spain(1)"
loyalty points,7,4,0,3,0,https://www.openloyalty.io/product/loyalty-points-system,7,,0,"India(4), Yemen(1), Moldova(1)"
customer loyalty card software,7,6,0,1,0,https://www.openloyalty.io/pricing,5,https://www.openloyalty.io/,2,"India(2), Australia(2), Saudi Arabia(1)"
open loyality,6,4,1,0,1,https://www.openloyalty.io/pricing,3,https://www.openloyalty.io/,2,"Switzerland(2), Poland(1), Ethiopia(1)"
api loyalty program,6,5,0,1,0,https://www.openloyalty.io/product/loyalty-points-system,2,https://www.openloyalty.io/,1,"United States(3), United Kingdom(3)"
#loyaltyprogram,6,6,0,0,0,https://www.openloyalty.io/book-a-demo,5,https://www.openloyalty.io/,1,"Germany(1), Brazil(1), Philippines(1)"
gamification loyalty software pricing,6,3,0,3,0,https://www.openloyalty.io/pricing,4,https://www.openloyalty.io/product-sheet,2,"United States(3), Germany(1), Seychelles(1)"
customer loyalty software solutions,5,5,0,0,0,https://www.openloyalty.io/,5,,0,"United States(3), Ethiopia(1), Venezuela(1)"
"""customer loyalty platform",5,4,0,1,0,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,2,https://www.openloyalty.io/technology/loyalty-program-api,1,United States(5)
b2b loyalty software,4,2,0,2,0,https://www.openloyalty.io/,2,https://www.openloyalty.io/applications/white-label-loyalty,1,"Germany(2), Mexico(1), United Kingdom(1)"
customer loyalty programs software,4,2,1,1,0,https://www.openloyalty.io/,4,,0,"Portugal(2), Kuwait(1), Panama(1)"
loyalty software,4,4,0,0,0,https://www.openloyalty.io/,2,https://www.openloyalty.io/pricing,1,"Australia(1), Netherlands(1), Cameroon(1)"
voucher management system,4,4,0,0,0,https://www.openloyalty.io/product/vouchers,4,,0,"United Arab Emirates(1), Jordan(1), France(1)"
royalty program,4,4,0,0,0,https://www.openloyalty.io/book-a-demo,3,https://www.openloyalty.io/,1,"India(2), Australia(1), Botswana(1)"
