first_page,total,MQL,SQL,Opportunity,Customer,lifecycle_score,mql_pct,sql_pct,opp_pct,cust_pct
https://www.openloyalty.io/,750,491,31,220,8,1764,65%,4%,29%,1%
https://www.openloyalty.io/book-a-demo-contact,74,12,0,62,0,322,16%,0%,83%,0%
https://www.openloyalty.io/pricing,124,98,2,24,0,224,79%,1%,19%,0%
https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,34,22,4,8,0,74,64%,11%,23%,0%
https://www.openloyalty.io/applications/white-label-loyalty,43,35,1,7,0,73,81%,2%,16%,0%
https://www.openloyalty.io/technology/loyalty-program-api,40,32,1,7,0,70,80%,2%,17%,0%
https://www.openloyalty.io/book-a-demo,51,45,3,3,0,69,88%,5%,5%,0%
https://www.openloyalty.io/es,25,15,0,10,0,65,60%,0%,40%,0%
https://www.openloyalty.io/product/loyalty-points-system,22,15,0,7,0,50,68%,0%,31%,0%
https://www.openloyalty.io/resources/loyalty-program-trends,12,5,0,5,2,50,41%,0%,41%,16%
https://www.openloyalty.io/applications/saas-enrichment,14,7,2,5,0,38,50%,14%,35%,0%
https://www.openloyalty.io/resources/10-best-gamification-loyalty-programs,11,6,0,5,0,31,54%,0%,45%,0%
https://www.openloyalty.io/product-sheet,7,2,0,5,0,27,28%,0%,71%,0%
https://www.openloyalty.io/resources/10-best-mobile-loyalty-program-apps,14,11,0,3,0,26,78%,0%,21%,0%
https://www.openloyalty.io/de,8,4,0,4,0,24,50%,0%,50%,0%
https://www.openloyalty.io/insider/restaurant-loyalty-programs-10-successful-examples,15,13,0,2,0,23,86%,0%,13%,0%
https://www.openloyalty.io/product/coupon-software,13,10,1,2,0,23,76%,7%,15%,0%
https://www.openloyalty.io/industries/ecommerce,4,0,1,2,1,23,0%,25%,50%,25%
https://www.openloyalty.io/book-a-demo-with-us,6,2,0,4,0,22,33%,0%,66%,0%
https://www.openloyalty.io/product/vouchers,13,11,0,2,0,21,84%,0%,15%,0%
https://www.openloyalty.io/product/reward-management-system,9,7,0,2,0,17,77%,0%,22%,0%
https://www.openloyalty.io/insider/bank-loyalty-programs-10-successful-examples-2022,5,2,0,3,0,17,40%,0%,60%,0%
https://www.openloyalty.io/role/developers,5,2,0,3,0,17,40%,0%,60%,0%
https://www.openloyalty.io/insider/coupon-management-software,5,2,0,3,0,17,40%,0%,60%,0%
https://www.openloyalty.io/product/code-scanning,7,5,0,2,0,15,71%,0%,28%,0%
https://www.openloyalty.io/insider/best-gamification-software,5,2,1,2,0,15,40%,20%,40%,0%
https://www.openloyalty.io/insider/ecommerce-loyalty-programs,5,3,0,2,0,13,60%,0%,40%,0%
https://www.openloyalty.io/product/loyalty-card-system,5,3,0,2,0,13,60%,0%,40%,0%
https://www.openloyalty.io/insider/healthcare-loyalty-programs,4,2,0,2,0,12,50%,0%,50%,0%
https://www.openloyalty.io/product/loyalty-campaign-software,4,2,0,2,0,12,50%,0%,50%,0%
https://www.openloyalty.io/product/cashback,8,7,0,1,0,12,87%,0%,12%,0%
https://www.openloyalty.io/insider/10-best-mobile-loyalty-program-apps-full-report,4,2,0,2,0,12,50%,0%,50%,0%
https://www.openloyalty.io/insider/10-best-gamification-loyalty-programs-full-report,3,1,0,2,0,11,33%,0%,66%,0%
https://www.openloyalty.io/product/loyalty-program-crm-software,6,5,0,1,0,10,83%,0%,16%,0%
https://www.openloyalty.io/insider/best-referral-software,6,5,0,1,0,10,83%,0%,16%,0%
https://www.openloyalty.io/clients/u-s-soccer,2,0,0,2,0,10,0%,0%,100%,0%
https://www.openloyalty.io/clients,2,0,0,2,0,10,0%,0%,100%,0%
https://www.openloyalty.io/insider/how-duolingos-gamification-mechanics-drive-customer-loyalty,2,0,0,2,0,10,0%,0%,100%,0%
https://www.openloyalty.io/product/referral-program-software,4,2,1,1,0,10,50%,25%,25%,0%
https://www.openloyalty.io/clients/club-brugge,2,0,0,2,0,10,0%,0%,100%,0%
https://www.openloyalty.io/insider/gamification-case-studies,1,0,0,0,1,10,0%,0%,0%,100%
https://www.openloyalty.io/insider/effective-tiered-loyalty-programs,2,0,0,2,0,10,0%,0%,100%,0%
https://www.openloyalty.io/insider/coffee-loyalty-programs-successful-examples,4,3,0,1,0,8,75%,0%,25%,0%
https://www.openloyalty.io/insider/top-10-loyalty-programs-for-sports-clubs,3,2,0,1,0,7,66%,0%,33%,0%
https://www.openloyalty.io/resources/the-top-40-best-rewards-programs-for-customers-report,3,2,0,1,0,7,66%,0%,33%,0%
https://www.openloyalty.io/insider/sephora-beauty-insider,3,2,0,1,0,7,66%,0%,33%,0%
https://www.openloyalty.io/insider/rewards-program-software,3,2,0,1,0,7,66%,0%,33%,0%
https://www.openloyalty.io/insider/best-retail-loyalty-programs,6,6,0,0,0,6,100%,0%,0%,0%
https://www.openloyalty.io/insider/headless-loyalty-software,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/insider/gamification-healthcare,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/resources/loyalty-program-roi,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/insider/loyalty-program-metrics-measuring-the-health-of-your-loyalty-program,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/product/leaderboard-software,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/insider/gift-cards,2,1,0,1,0,6,50%,0%,50%,0%
